report_code,report_date,fight_id,fight_name,encounter_id,fight_result,duration_seconds,fight_start_timestamp,difficulty,raid_size,player_name,player_id,warcraft_logs_source_id,class,spec,role,item_level,damage_done,damage_done_reduced,damage_per_second,damage_active_time_seconds,damage_active_time_percent,damage_taken,damage_taken_reduced,damage_taken_per_second,damage_taken_active_time_seconds,healing_done,healing_done_reduced,healing_per_second,overhealing,healing_active_time_seconds,healing_received,healing_received_reduced,healing_received_per_second,cast_count,casts_per_minute,death_count,interrupt_count,dispel_count,attempt_number,active_time_ms,active_time_seconds,active_time_percent,player_count
1Pwx2hQvg7cDZbC9,2026-09-08,24,Vashnik the Malignant,3455,KILL,253.413,4849407.0,3.0,19.0,Mydrood,P-71a55fed3a6d81f1,103,Druid,Balance,DPS,303.0,37500676.0,36505949.0,147982.448,253.035,99.85,6107471.0,5316055.0,24100.859,249.976,196022.0,62970.0,773.528,1711.0,31.472,7617615.0,2210764.0,30060.08,174,41.198,0,0,0,1,253035.0,253.035,99.85,19
1Pwx2hQvg7cDZbC9,2026-09-08,24,Vashnik the Malignant,3455,KILL,253.413,4849407.0,3.0,19.0,Mârtirio,P-33f7de3f76a79e7e,93,Priest,Holy,Healer,303.0,727455.0,0.0,2870.63,34.838,13.75,4733921.0,4148937.0,18680.656,249.976,35168952.0,34100085.0,138781.168,33006358.0,251.896,2451935.0,0.0,9675.648,131,31.017,0,0,9,1,34838.0,34.838,13.75,19
1Pwx2hQvg7cDZbC9,2026-09-08,24,Vashnik the Malignant,3455,KILL,253.413,4849407.0,3.0,19.0,Quetzalli,P-7bba87320072e411,113,Monk,Windwalker,DPS,292.0,23276542.0,0.0,91852.202,251.568,99.27,5625266.0,4360860.0,22198.017,249.976,592501.0,246105.0,2338.084,561824.0,249.195,3351001.0,1983246.0,13223.477,139,32.911,0,0,0,1,251568.0,251.568,99.27,19
1Pwx2hQvg7cDZbC9,2026-09-08,24,Vashnik the Malignant,3455,KILL,253.413,4849407.0,3.0,19.0,Raginbull,P-697db713a2d497c5,151,Warrior,Arms,DPS,316.0,34140078.0,0.0,134721.1,250.872,99.0,5869547.0,5507066.0,23161.981,249.976,2421587.0,0.0,9555.891,791687.0,237.132,2486619.0,0.0,9812.516,195,46.17,0,0,0,1,250872.0,250.872,99.0,19
1Pwx2hQvg7cDZbC9,2026-09-08,24,Vashnik the Malignant,3455,KILL,253.413,4849407.0,3.0,19.0,Reignyskyes,P-4cb9858bc6378843,99,Shaman,Restoration,Healer,316.0,1424956.0,0.0,5623.058,208.154,82.14,5334497.0,4534597.0,21050.605,249.976,24269895.0,23794236.0,95772.099,25039978.0,251.986,2997104.0,2521445.0,11826.954,145,34.331,0,0,3,1,208154.0,208.154,82.14,19
1Pwx2hQvg7cDZbC9,2026-09-08,24,Vashnik the Malignant,3455,KILL,253.413,4849407.0,3.0,19.0,Shockabeotch,P-26d1d86078024e5b,4,Shaman,Elemental,DPS,311.0,36765817.0,26007070.0,145082.6,253.129,99.89,5501781.0,5151378.0,21710.729,249.976,1409234.0,0.0,5561.017,1262095.0,247.991,910934.0,0.0,3594.662,146,34.568,0,0,0,1,253129.0,253.129,99.89,19
1Pwx2hQvg7cDZbC9,2026-09-08,24,Vashnik the Malignant,3455,KILL,253.413,4849407.0,3.0,19.0,Soliloquy,P-ace0c6b4dcb42bd6,108,Priest,Shadow,DPS,318.0,32794327.0,31359421.0,129410.595,252.05,99.46,5925516.0,4109722.0,23382.841,249.976,4588852.0,3065613.0,18108.195,7207446.0,251.907,3110863.0,1587624.0,12275.862,146,34.568,0,0,0,1,252050.0,252.05,99.46,19
1Pwx2hQvg7cDZbC9,2026-09-08,24,Vashnik the Malignant,3455,KILL,253.413,4849407.0,3.0,19.0,Sonshot,P-ae5c48e656ae40da,105,Hunter,BeastMastery,DPS,295.0,32147315.0,14602780.0,126857.403,253.194,99.91,6305565.0,5678601.0,24882.563,249.976,569104.0,0.0,2245.757,229033.0,247.837,713309.0,0.0,2814.808,206,48.774,0,0,1,1,253194.0,253.194,99.91,19
1Pwx2hQvg7cDZbC9,2026-09-08,24,Vashnik the Malignant,3455,KILL,253.413,4849407.0,3.0,19.0,Sparklë,P-373c9381dbb42033,95,Druid,Balance,DPS,304.0,24706611.0,23867181.0,97495.436,252.779,99.75,6063894.0,5110923.0,23928.899,249.976,0.0,0.0,0.0,0.0,0.0,8379723.0,5560869.0,33067.455,151,35.752,0,0,0,1,252779.0,252.779,99.75,19
1Pwx2hQvg7cDZbC9,2026-09-08,24,Vashnik the Malignant,3455,KILL,253.413,4849407.0,3.0,19.0,Spluss,P-8ed204ced1a06675,98,Warlock,Affliction,DPS,281.0,25458742.0,21156284.0,100463.441,252.584,99.67,5164497.0,3145200.0,20379.763,250.989,2199719.0,547430.0,8680.372,751069.0,250.989,1745133.0,546921.0,6886.517,140,33.147,0,0,0,1,252584.0,252.584,99.67,19
